 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 323 10 2 ZTF_r 3345456283815 0 1.9288 673.806 12.0957 26.301 5.3218e-06 0.0246869 0.104093 9.88676e-06 782 30. 0.103265 0.080909 19.7722 26.301 1 2461099.9562847 323120238 1 44.0664345128719 49.2649982514005 0.995002660152889 0.974909080916322 -136.611676648301 93.3637537311056 -1.47307449255488 1.03831130502738 null null null null null 2458198.857917 2458465.065532 57
 10 323 10 2 ZTF_g 3346395383815 0 2.1392 167.813 15.8674 26.1759 1.75506e-05 0.0386568 -0.0361465 3.96113e-05 628 30. 0.110493 0.086269 19.275 26.1759 1 2461100.8953819 323120138 1 -14.4895271468168 69.9819390885086 -0.230315433985886 0.970949600065635 46.7496698719688 128.228598336264 0.367036154172672 1.03892687001761 4.47823152697207 22.6089999198914 0.319000005722046 0.460999995470047 -0.398999989032745 2458204.842546 2458540.917766 0
 11 323 10 2 ZTF_r 3346460243815 0 2.0447 659.128 13.615 26.2788 5.4946e-06 0.0251499 0.106648 1.01633e-05 779 30. 0.105927 0.084648 19.5974 26.2788 1 2461100.9602431 323120238 1 27.3428205047526 54.0198762313474 0.563046843061101 1.01204838332512 -62.5708329604319 100.159841632594 -0.628917239620802 1.04013528913806 null null null null null 2458198.857917 2458465.065532 57
 12 323 10 2 ZTF_i 3346502163815 0 1.8899 385.469 10.0939 25.7567 1.947e-06 0.0219824 0.189218 1.20235e-05 785 30. 0.117631 0.094036 19.4811 25.7567 1 2461101.0021644 323120338 1 8.73840057884119 41.1968166750707 0.235951689614443 0.759323022638299 -174.110228314465 79.8159018589887 -2.19608958411887 1.03398107135869 null null null null null 2459205.041435 2459624.959201 56,57
 13 323 10 2 ZTF_i 3347368223815 0 2.4672 384.778 11.647 25.7321 3.7743e-06 0.0302209 0.187501 2.37057e-05 781 30. 0.12817 0.098992 19.0659 25.7321 1 2461101.8682292 323120338 1 19.0774816285131 57.5095830347894 0.369007867982285 0.806577549729341 -24.928121423369 95.9219264257577 -0.261629584501898 1.05574400897069 null null null null null 2459205.041435 2459624.959201 56,57
 14 323 10 2 ZTF_g 3347429173815 0 2.5767 177.91 18.2732 26.2285 2.49007e-05 0.038818 -0.0342204 6.30128e-05 499 30. 0.11897 0.094081 19.0546 26.2285 1 2461101.9291782 323120138 1 101.263856768778 89.7090827713473 1.25566228174948 1.03251264087053 180.750552819717 145.786513946071 1.24818073542617 1.0601427332935 4.47823152697207 22.6089999198914 0.319000005722046 0.460999995470047 -0.398999989032745 2458204.842546 2458540.917766 0
 15 323 10 2 ZTF_r 3347440593815 0 2.1739 666.109 15.5276 26.298 5.7685e-06 0.0255799 0.106814 1.06391e-05 774 30. 0.108284 0.086201 19.4382 26.298 1 2461101.9405903 323120238 1 47.1336852339549 65.5147079752112 0.800289997311117 1.10714640783399 -6.16912925612839 118.39332709571 -0.0524580130397714 1.04441072744681 null null null null null 2458198.857917 2458465.065532 57
 16 323 10 2 ZTF_i 3354434793815 0 2.1969 375.025 10.8161 25.7163 2.9535e-06 0.0268783 0.188729 1.84728e-05 785 30. 0.121456 0.100606 19.2165 25.7163 1 2461108.9347917 323120338 1 -26.3912655933971 48.9884192544747 -0.599268696525653 0.713687560745895 -1.77188849128669 87.2377633008425 -0.0204478220752792 1.04184875923919 null null null null null 2459205.041435 2459624.959201 56,57
 17 323 10 2 ZTF_i 3356362233815 0 3.3847 379.075 6.41825 25.7203 4.5609e-06 0.0333402 0.193055 2.83675e-05 780 30. 0.13896 0.110484 19.4203 25.7203 1 2461110.8622338 323120338 1 40.2231774130455 39.2704207233418 1.13937220732058 0.798530922744284 37.2894155166067 54.0100913558933 0.695065698522614 1.11411740262779 null null null null null 2459205.041435 2459624.959201 56,57
 18 323 10 2 ZTF_g 3356417783815 0 2.6744 177.014 8.13363 26.2307 1.13356e-05 0.0344933 -0.0519843 2.29004e-05 732 30. 0.112815 0.091193 19.8689 26.2307 1 2461110.9177894 323120138 1 51.8709548258852 42.5956561704112 1.35460829516906 0.975739469053785 48.3927855344049 68.1511021284874 0.714863182071548 1.05886886614193 4.47823152697207 22.6089999198914 0.319000005722046 0.460999995470047 -0.398999989032745 2458204.842546 2458540.917766 0
 19 323 10 2 ZTF_r 3356481133815 0 2.6577 652.303 9.88594 26.2837 6.1408e-06 0.0263834 0.108619 1.14736e-05 775 30. 0.11394 0.092645 19.6851 26.2837 1 2461110.9811343 323120238 1 90.7916255101324 48.6672958465787 2.07521633370824 1.05965870279317 -62.8109201786898 77.9003230322617 -0.811729051671917 1.05661274960142 null null null null null 2458198.857917 2458465.065532 57
 20 323 10 2 ZTF_r 3357442893815 0 2.0707 664.916 8.99922 26.2945 4.3069e-06 0.0221926 0.108903 7.99992e-06 779 30. 0.108063 0.083636 19.9925 26.2945 1 2461111.9428935 323120238 1 38.5342815897631 40.7500060483099 1.05189984284868 0.877345462072631 -34.0367700298116 75.1568970663214 -0.45592634836996 1.03869152370135 null null null null null 2458198.857917 2458465.065532 57
 21 323 10 2 ZTF_g 3357518583815 0 2.6797 167.141 9.86389 26.1585 1.71482e-05 0.0400173 -0.0441549 3.7337e-05 689 30. 0.114321 0.09371 19.5917 26.1585 1 2461112.018588 323120138 1 2782.02408859677 60.1699389829387 51.4323201479679 1.49345103778995 2918.54636962997 88.8503734602574 33.0691119566535 1.05369417636967 4.47823152697207 22.6089999198914 0.319000005722046 0.460999995470047 -0.398999989032745 2458204.842546 2458540.917766 0
# ------------------------------END---------------------------------
